path,destination,note,size_bytes
docs/PRODUCT_SPEC.md,KV ReservationService,Reservation/system documentation,1302
docs/KV_RESERVATION_MANAGER_MOBILE_API.md,KV ReservationService,Reservation/system documentation,2309
docs/LOCAL_DEV_STARTUP.md,KV ReservationService,Reservation/system documentation,680
docs/ROADMAP.md,KV Website,Public website/content/marketing file,1411
docs/SPOTHOPPER_TICKET_SALE_IMPORT.md,KV ReservationService,Reservation/system documentation,3216
docs/EVENTS_MANAGER_DESKTOP_SYNC.md,KV ReservationService,Reservation/system documentation,2721
docs/RESERVATION_PIPELINE.md,KV ReservationService,Reservation/system documentation,3287
components/SiteFooter.tsx,KV Website,Public website/content/marketing file,3542
components/ReservationOnlyForm.tsx,Review / bridge,Public checkout/event-reservation files; decide whether to keep in KVRS or refactor to link from website,3856
components/ReviewsSection.tsx,KV Website,Public website/content/marketing file,1090
components/HomeEventsCarousel.tsx,KV Website,Public website/content/marketing file,6797
components/AdminDeleteReservationButton.tsx,KV ReservationService,Backend/admin/API/AI/reservation operations,1979
components/SiteImageCarousel.tsx,KV Website,Public website/content/marketing file,8163
components/PublicReservationForm.tsx,Review / bridge,Public checkout/event-reservation files; decide whether to keep in KVRS or refactor to link from website,5271
components/InquiryForm.tsx,KV Website,Public website/content/marketing file,2186
components/MenuSection.tsx,KV Website,Public website/content/marketing file,953
components/SiteImageGallery.tsx,KV Website,Public website/content/marketing file,948
components/ReservationAssistant.tsx,KV ReservationService,Backend/admin/API/AI/reservation operations,10236
components/EventDatePill.tsx,KV Website,Public website/content/marketing file,437
components/AdminEventForm.tsx,KV ReservationService,Backend/admin/API/AI/reservation operations,10623
components/TicketTypeCard.tsx,Review / bridge,Public checkout/event-reservation files; decide whether to keep in KVRS or refactor to link from website,4805
scripts/seed.mjs,KV ReservationService,Reservation/sync/patch script,2571
scripts/apply-v122e-optional-template-fields.py,KV ReservationService,Reservation/sync/patch script,1851
scripts/apply-v120-affected-date-sheet-backfill.mjs,KV ReservationService,Reservation/sync/patch script,2682
scripts/apply-v122d-confirmation-center-clean-customer-text.py,KV ReservationService,Reservation/sync/patch script,4485
scripts/apply-v88-mobile-time-debug-patch.mjs,KV ReservationService,Reservation/sync/patch script,6172
scripts/kvrs_confirmation_backend_audit.mjs,KV ReservationService,Reservation/sync/patch script,5763
scripts/apply-v122b-confirmation-center-backend.py,KV ReservationService,Reservation/sync/patch script,26424
scripts/check-mobile-api-db.mjs,KV ReservationService,Reservation/sync/patch script,1710
scripts/kvrs-resync-sheets-route-v120-wrapper.template.ts,KV ReservationService,Reservation/sync/patch script,10844
scripts/prepare-local-dev.mjs,KV ReservationService,Reservation/sync/patch script,4133
scripts/apply-v122-confirmation-center-backend.mjs,KV ReservationService,Reservation/sync/patch script,27083
scripts/kvrs-local-date-sheet-rebuild.mjs,KV ReservationService,Reservation/sync/patch script,11187
scripts/mac_clean_install.sh,KV ReservationService,Reservation/sync/patch script,284
scripts/apply-v122c-confirmation-center-safe-inquiry-display.py,KV ReservationService,Reservation/sync/patch script,26614
scripts/ensure-katyvibes-site-images.mjs,KV Website,Public website/content/marketing file,3046
scripts/import-katyvibes-site-images.mjs,KV Website,Public website/content/marketing file,8803
scripts/cleanup-spothopper-ticket-sale-reservation-summaries.mjs,KV ReservationService,Reservation/sync/patch script,927
scripts/sync-events-manager-api.mjs,KV ReservationService,Reservation/sync/patch script,1099
lib/prisma.ts,Review / bridge,Public checkout/event-reservation files; decide whether to keep in KVRS or refactor to link from website,307
lib/inventory.ts,KV ReservationService,Backend/reservation library,23311
lib/slug.ts,Review / bridge,Public checkout/event-reservation files; decide whether to keep in KVRS or refactor to link from website,237
lib/datetime.ts,KV Website,Public website/content/marketing file,4639
lib/stripe.ts,KV ReservationService,Backend/reservation library,1097
lib/email.ts,KV ReservationService,Backend/reservation library,620
lib/siteImages.ts,KV Website,Public website/content/marketing file,7131
lib/importedTicketSales.ts,KV ReservationService,Backend/reservation library,15333
lib/money.ts,Review / bridge,Public checkout/event-reservation files; decide whether to keep in KVRS or refactor to link from website,603
lib/tokens.ts,KV ReservationService,Backend/reservation library,149
lib/mobileConfirmationCenter.ts,KV ReservationService,Backend/reservation library,27205
lib/assistantSettings.ts,KV ReservationService,Backend/reservation library,2726
lib/constants.ts,KV ReservationService,Backend/reservation library,954
lib/eventsManagerSync.ts,KV ReservationService,Backend/reservation library,13844
lib/reservationDeletion.ts,KV ReservationService,Backend/reservation library,13650
lib/reservationIntegrations.ts,KV ReservationService,Backend/reservation library,63993
lib/assistantEventKnowledge.ts,KV ReservationService,Backend/reservation library,6834
lib/siteContent.ts,KV Website,Public website/content/marketing file,12808
lib/db.ts,Review / bridge,Public checkout/event-reservation files; decide whether to keep in KVRS or refactor to link from website,369
lib/stripeLocalCheckoutFallback.ts,KV ReservationService,Backend/reservation library,3762
lib/importedReservations.ts,KV ReservationService,Backend/reservation library,24303
app/drinks/page.tsx,KV Website,Public website/content/marketing file,1314
app/order/page.tsx,KV Website,Public website/content/marketing file,814
app/contact/page.tsx,KV Website,Public website/content/marketing file,1525
app/success/page.tsx,KV ReservationService,Backend/admin/API/AI/reservation operations,3569
app/specials/page.tsx,KV Website,Public website/content/marketing file,4649
app/admin/page.tsx,KV ReservationService,Backend/admin/API/AI/reservation operations,30426
app/about/page.tsx,KV Website,Public website/content/marketing file,3704
app/food/page.tsx,KV Website,Public website/content/marketing file,1300
app/parties/page.tsx,KV Website,Public website/content/marketing file,1581
app/reserve/page.tsx,Review / bridge,Public checkout/event-reservation files; decide whether to keep in KVRS or refactor to link from website,1634
app/catering/page.tsx,KV Website,Public website/content/marketing file,1337
app/jobs/page.tsx,KV Website,Public website/content/marketing file,1275
app/events/page.tsx,KV Website,Public website/content/marketing file,2591
.kvrs_customer_text_cleanup_backup_20260527_200109/app/page.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",7774
.kvrs_customer_text_cleanup_backup_20260527_200109/components/SiteFooter.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",3546
.kvrs_customer_text_cleanup_backup_20260527_200109/components/PublicReservationForm.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",5262
.kvrs_customer_text_cleanup_backup_20260527_200109/components/InquiryForm.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",2144
.kvrs_customer_text_cleanup_backup_20260527_200109/components/ReservationAssistant.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",10314
integrations/events-manager-windows/kv_reservationservice_reservations_import.py,KV ReservationService,Windows Events Manager / SpotHopper integration,5121
integrations/events-manager-windows/KVRS_SYNC_README.txt,KV ReservationService,Windows Events Manager / SpotHopper integration,839
integrations/events-manager-windows/.env.kv-reservationservice.example,KV ReservationService,Windows Events Manager / SpotHopper integration,1356
integrations/events-manager-windows/sync_spothopper_reservations_full_details.ps1,KV ReservationService,Windows Events Manager / SpotHopper integration,422
integrations/events-manager-windows/kv_spothopper_reservations_sync.py,KV ReservationService,Windows Events Manager / SpotHopper integration,34538
integrations/events-manager-windows/install_v64_spothopper_reservation_sync.ps1,KV ReservationService,Windows Events Manager / SpotHopper integration,1386
integrations/events-manager-windows/sync_spothopper_reservations.ps1,KV ReservationService,Windows Events Manager / SpotHopper integration,392
integrations/events-manager-windows/kv_reservationservice_sync.py,KV ReservationService,Windows Events Manager / SpotHopper integration,26418
integrations/events-manager-windows/sync_latest_event.ps1,KV ReservationService,Windows Events Manager / SpotHopper integration,184
integrations/events-manager-windows/SPOTHOPPER_RESERVATION_SYNC_README.txt,KV ReservationService,Windows Events Manager / SpotHopper integration,2112
integrations/events-manager-windows/sync_all_events.ps1,KV ReservationService,Windows Events Manager / SpotHopper integration,181
.kvrs-upload-chunks/events-manager--2026-06-20-2-Party-on-the-patio--b89bd35bf3de45c188010c1308e196a5/000000.part,Do not copy,"Secrets, local data, generated output, backups, or transient files",262144
.kvrs-upload-chunks/events-manager--2026-06-20-2-Party-on-the-patio--b89bd35bf3de45c188010c1308e196a5/000001.part,Do not copy,"Secrets, local data, generated output, backups, or transient files",262144
.kvrs-upload-chunks/events-manager--2026-06-20-2-Party-on-the-patio--b89bd35bf3de45c188010c1308e196a5/000002.part,Do not copy,"Secrets, local data, generated output, backups, or transient files",262144
.kvrs-upload-chunks/events-manager--2026-06-20-2-Party-on-the-patio--b89bd35bf3de45c188010c1308e196a5/000003.part,Do not copy,"Secrets, local data, generated output, backups, or transient files",262144
.kvrs-upload-chunks/events-manager--2026-06-20-2-Party-on-the-patio--b89bd35bf3de45c188010c1308e196a5/meta.json,Do not copy,"Secrets, local data, generated output, backups, or transient files",462
_patch_backups/v122b_confirmation_center_backend_20260526215335/.env.local,Do not copy,"Secrets, local data, generated output, backups, or transient files",1056
_patch_backups/v122b_confirmation_center_backend_20260526215335/.env.example,Do not copy,"Secrets, local data, generated output, backups, or transient files",4037
_patch_backups/v117_checkout_flow_20260524_212213/.gitignore,Do not copy,"Secrets, local data, generated output, backups, or transient files",76
sync_outputs/kvrs_startup_sync/last_startup_sync_trigger.txt,Do not copy,"Secrets, local data, generated output, backups, or transient files",11
app/admin/database/page.tsx,KV ReservationService,Backend/admin/API/AI/reservation operations,5379
app/admin/ai-rules/actions.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,1203
app/admin/ai-rules/page.tsx,KV ReservationService,Backend/admin/API/AI/reservation operations,3067
app/admin/checkin/page.tsx,KV ReservationService,Backend/admin/API/AI/reservation operations,2075
app/admin/sync/page.tsx,KV ReservationService,Backend/admin/API/AI/reservation operations,4565
app/admin/events/actions.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,5939
app/admin/events/page.tsx,KV ReservationService,Backend/admin/API/AI/reservation operations,3440
app/api/chat/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,12870
app/api/reservations/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,1842
app/api/checkout/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,3661
app/api/manager/_auth.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,601
app/api/checkin/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,1217
app/events/[slug]/page.tsx,Review / bridge,Public checkout/event-reservation files; decide whether to keep in KVRS or refactor to link from website,3190
.kvrs_customer_text_cleanup_backup_20260527_200109/app/drinks/page.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",1331
.kvrs_customer_text_cleanup_backup_20260527_200109/app/order/page.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",856
.kvrs_customer_text_cleanup_backup_20260527_200109/app/success/page.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",3648
.kvrs_customer_text_cleanup_backup_20260527_200109/app/food/page.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",1323
.kvrs_customer_text_cleanup_backup_20260527_200109/app/parties/page.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",1551
.kvrs_customer_text_cleanup_backup_20260527_200109/app/catering/page.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",1306
integrations/events-manager-windows/__pycache__/kv_spothopper_reservations_sync.cpython-313.pyc,KV ReservationService,Windows Events Manager / SpotHopper integration,46906
public/uploads/events-manager/karaoke-crawfish-nights-at-katy-vibes-2026-04-11-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/clutch-city-band-live-at-katy-vibes-2026-05-24-a3935f817ae1-2026-05-23-clutch-city-band-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2374983
public/uploads/events-manager/line-dancing-with-gloria-at-katy-vibes-2026-05-15-e735c2edac94-2026-05-14-gloria-line-dancing-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2225541
public/uploads/events-manager/karaoke-nights-at-katy-vibes-2026-06-04-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/ncaa-final-watch-party-at-katy-vibes-2026-04-07-a26bd8e67358-2026-04-06-ncaa-final-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,794485
public/uploads/events-manager/spicy-crawfish-challenge-at-katy-vibes-2026-04-05-a1ae6bec1cd0-2026-04-04-spicy-crawfish-challenge-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,5034770
public/uploads/events-manager/party-on-the-patio-at-katy-vibes-2026-06-06-c01feae8ed38-party-on-the-patio-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,4313124
public/uploads/events-manager/line-dance-with-natasha-at-katy-vibes-2026-05-22-b1da96b37837-2026-05-21-natasha-line-dancing-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,3085787
public/uploads/events-manager/karaoke-night-at-katy-vibes-2026-05-16-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/karaoke-nights-at-katy-vibes-2026-06-27-23d88d3b2784-karaoke-battles-crawfish-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,3867072
public/uploads/events-manager/music-bingo-tuesdays-at-katy-vibes-2026-04-08-173787f8442c-music-bingo-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2001582
public/uploads/events-manager/artist-showcase-with-corey-stoot-at-katy-vibes-2026-05-19-5a4ddc3fa318-2026-05-18-amateur-night-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,3435215
public/uploads/events-manager/karaoke-night-at-katy-vibes-2026-05-23-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/music-bingo-tuesdays-at-katy-vibes-2026-05-20-173787f8442c-music-bingo-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2001582
public/uploads/events-manager/party-on-the-patio-at-katy-vibes-2026-06-26-c01feae8ed38-party-on-the-patio-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,4313124
public/uploads/events-manager/memorial-sunday-funday-at-katy-vibes-2026-05-24-2c67fdfd7347-2026-05-24-memorial-day-party-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,951066
public/uploads/events-manager/cool-breeze-returns-at-katy-vibes-2026-06-14-e159cd5e2b1f-2026-06-13-cool-breeze-ver2-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,698289
public/uploads/events-manager/clean-comedy-afternoon-at-katy-vibes-2026-04-26-13412f6cddfc-2026-04-26-comedy-show-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2127662
public/uploads/events-manager/music-bingo-tuesdays-at-katy-vibes-2026-04-29-173787f8442c-music-bingo-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2001582
public/uploads/events-manager/karaoke-night-at-katy-vibes-2026-05-21-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/line-dancing-with-gloria-at-katy-vibes-2026-06-05-437e98084df1-2026-06-04-gloria-line-dancing-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2225145
public/uploads/events-manager/joilux-interactive-party-band-at-katy-vibes-2026-04-19-4ab963a9c67b-2026-04-18-joilux-band-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,827691
public/uploads/events-manager/karaoke-night-at-katy-vibes-2026-05-14-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/karaoke-nights-at-katy-vibes-2026-06-25-23d88d3b2784-karaoke-battles-crawfish-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,3867072
public/uploads/events-manager/karaoke-nights-live-crawfish-at-katy-vibes-2026-04-30-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/party-on-the-patio-at-katy-vibes-2026-06-27-c01feae8ed38-party-on-the-patio-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,4313124
public/uploads/events-manager/karaoke-night-at-katy-vibes-2026-05-09-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/line-dancing-with-gloria-at-katy-vibes-2026-05-01-fc281ec42128-2026-05-30-gloria-line-dancing-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2226150
public/uploads/events-manager/karaoke-nights-at-katy-vibes-2026-06-06-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/katy-idol-spring-auditions-at-katy-vibes-2026-04-11-96dce864fad9-2026-04-katy-idol-spring-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,905894
public/uploads/events-manager/karaoke-night-at-katy-vibes-2026-05-07-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/karaoke-night-at-katy-vibes-2026-05-02-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/karaoke-nights-at-katy-vibes-2026-06-18-23d88d3b2784-karaoke-battles-crawfish-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,3867072
public/uploads/events-manager/party-on-the-patio-at-katy-vibes-2026-06-20-c01feae8ed38-party-on-the-patio-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,4313124
public/uploads/events-manager/karaoke-crawfish-nights-at-katy-vibes-2026-04-18-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/joilux-interactive-party-band-at-katy-vibes-2026-05-31-6ed494f4c6a3-2026-05-30-joilux-band-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,827774
public/uploads/events-manager/line-dance-with-natasha-at-katy-vibes-2026-06-19-54520368dec1-2026-06-18-natasha-line-dancing-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,3082957
public/uploads/events-manager/karaoke-nights-live-crawfish-at-katy-vibes-2026-04-16-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/karaoke-nights-at-katy-vibes-2026-06-15-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/karaoke-nights-live-crawfish-at-katy-vibes-2026-04-23-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/party-on-the-patio-at-katy-vibes-2026-06-19-c01feae8ed38-party-on-the-patio-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,4313124
public/uploads/events-manager/music-bingo-tuesdays-at-katy-vibes-2026-06-24-173787f8442c-music-bingo-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2001582
public/uploads/events-manager/music-bingo-tuesdays-at-katy-vibes-2026-05-27-173787f8442c-music-bingo-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2001582
public/uploads/events-manager/karaoke-crawfish-nights-at-katy-vibes-2026-04-02-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
